campaign_id,simulation_id,pair_id,phase,selection_stratum,geometry,panel_a_in,panel_b_in,case,theta1,theta2,case_formula,group_key,result_status
UV3S1,UV3S1-P026-6x8-Case3,P026,confirmatory,maximin_gap,6x8,6.0,8.0,Case3,-40,7,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-40|7,planned_blind
UV3S1,UV3S1-P026-6x8-Case4,P026,confirmatory,maximin_gap,6x8,6.0,8.0,Case4,-40,7,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-40|7,planned_blind
UV3S1,UV3S1-P026-8x8-Case2,P026,confirmatory,maximin_gap,8x8,8.0,8.0,Case2,-40,7,[[+/-theta1]/[+/-theta2]]4,Case2|-40|7,planned_blind
UV3S1,UV3S1-P026-8x8-Case3,P026,confirmatory,maximin_gap,8x8,8.0,8.0,Case3,-40,7,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-40|7,planned_blind
UV3S1,UV3S1-P026-8x8-Case4,P026,confirmatory,maximin_gap,8x8,8.0,8.0,Case4,-40,7,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-40|7,planned_blind
UV3S1,UV3S1-P027-6x4-Case2,P027,confirmatory,maximin_gap,6x4,6.0,4.0,Case2,-36,-90,[[+/-theta1]/[+/-theta2]]4,Case2|-36|-90,planned_blind
UV3S1,UV3S1-P027-6x4-Case3,P027,confirmatory,maximin_gap,6x4,6.0,4.0,Case3,-36,-90,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-36|-90,planned_blind
UV3S1,UV3S1-P027-6x4-Case4,P027,confirmatory,maximin_gap,6x4,6.0,4.0,Case4,-36,-90,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-36|-90,planned_blind
UV3S1,UV3S1-P027-6x8-Case2,P027,confirmatory,maximin_gap,6x8,6.0,8.0,Case2,-36,-90,[[+/-theta1]/[+/-theta2]]4,Case2|-36|-90,planned_blind
UV3S1,UV3S1-P027-6x8-Case3,P027,confirmatory,maximin_gap,6x8,6.0,8.0,Case3,-36,-90,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-36|-90,planned_blind
UV3S1,UV3S1-P027-6x8-Case4,P027,confirmatory,maximin_gap,6x8,6.0,8.0,Case4,-36,-90,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-36|-90,planned_blind
UV3S1,UV3S1-P027-8x8-Case2,P027,confirmatory,maximin_gap,8x8,8.0,8.0,Case2,-36,-90,[[+/-theta1]/[+/-theta2]]4,Case2|-36|-90,planned_blind
UV3S1,UV3S1-P027-8x8-Case3,P027,confirmatory,maximin_gap,8x8,8.0,8.0,Case3,-36,-90,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-36|-90,planned_blind
UV3S1,UV3S1-P027-8x8-Case4,P027,confirmatory,maximin_gap,8x8,8.0,8.0,Case4,-36,-90,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-36|-90,planned_blind
UV3S1,UV3S1-P028-6x4-Case2,P028,confirmatory,maximin_gap,6x4,6.0,4.0,Case2,-30,-26,[[+/-theta1]/[+/-theta2]]4,Case2|-30|-26,planned_blind
UV3S1,UV3S1-P028-6x4-Case3,P028,confirmatory,maximin_gap,6x4,6.0,4.0,Case3,-30,-26,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-30|-26,planned_blind
UV3S1,UV3S1-P028-6x4-Case4,P028,confirmatory,maximin_gap,6x4,6.0,4.0,Case4,-30,-26,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-30|-26,planned_blind
UV3S1,UV3S1-P028-6x8-Case2,P028,confirmatory,maximin_gap,6x8,6.0,8.0,Case2,-30,-26,[[+/-theta1]/[+/-theta2]]4,Case2|-30|-26,planned_blind
UV3S1,UV3S1-P028-6x8-Case3,P028,confirmatory,maximin_gap,6x8,6.0,8.0,Case3,-30,-26,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-30|-26,planned_blind
UV3S1,UV3S1-P028-6x8-Case4,P028,confirmatory,maximin_gap,6x8,6.0,8.0,Case4,-30,-26,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-30|-26,planned_blind
UV3S1,UV3S1-P028-8x8-Case2,P028,confirmatory,maximin_gap,8x8,8.0,8.0,Case2,-30,-26,[[+/-theta1]/[+/-theta2]]4,Case2|-30|-26,planned_blind
UV3S1,UV3S1-P028-8x8-Case3,P028,confirmatory,maximin_gap,8x8,8.0,8.0,Case3,-30,-26,[[+/-theta1]/[+/-theta2]/[-/+theta1]/[-/+theta2]]2,Case3|-30|-26,planned_blind
UV3S1,UV3S1-P028-8x8-Case4,P028,confirmatory,maximin_gap,8x8,8.0,8.0,Case4,-30,-26,[([+/-theta1]/[+/-theta2])2 / ([-/+theta1]/[-/+theta2])2],Case4|-30|-26,planned_blind
